Tamanho do input, Ordenação do input, Método, Comparações, Movimentações, Repetições, Tempo Médio(nanosseg)
100,Crescente,BubbleSort,4950,0,10,127140
100,Decrescente,BubbleSort,4950,4950,10,213620
100,Aleatoria,BubbleSort,4950,2331,10,109240
100,Crescente,InsertionSort,99,0,10,18680
100,Decrescente,InsertionSort,4950,4950,10,164110
100,Aleatoria,InsertionSort,2339,2331,10,78630
100,Crescente,SelectionSort,4950,0,10,110800
100,Decrescente,SelectionSort,4950,50,10,105780
100,Aleatoria,SelectionSort,4950,97,10,62800
100,Crescente,MergeSort,672,1344,10,53290
100,Decrescente,MergeSort,672,1344,10,11370
100,Aleatoria,MergeSort,672,1344,10,13420
100,Crescente,QuickSort,4950,99,10,64440
100,Decrescente,QuickSort,4950,99,10,26320
100,Aleatoria,QuickSort,576,165,10,6490
100,Crescente,ShellSort,522,522,10,22120
100,Decrescente,ShellSort,782,782,10,70070
100,Aleatoria,ShellSort,1061,1061,10,67140
1000,Crescente,BubbleSort,499500,0,10,466520
1000,Decrescente,BubbleSort,499500,499500,10,652010
1000,Aleatoria,BubbleSort,499500,236197,10,715010
1000,Crescente,InsertionSort,999,0,10,7720
1000,Decrescente,InsertionSort,499500,499500,10,1168560
1000,Aleatoria,InsertionSort,236204,236197,10,238480
1000,Crescente,SelectionSort,499500,0,10,1110400
1000,Decrescente,SelectionSort,499500,500,10,1086050
1000,Aleatoria,SelectionSort,499500,995,10,1087420
1000,Crescente,MergeSort,9976,19952,10,49640
1000,Decrescente,MergeSort,9976,19952,10,46470
1000,Aleatoria,MergeSort,9976,19952,10,89250
1000,Crescente,QuickSort,499500,999,10,317300
1000,Decrescente,QuickSort,499500,999,10,1688610
1000,Aleatoria,QuickSort,10276,2372,10,50700
1000,Crescente,ShellSort,8277,8277,10,244850
1000,Decrescente,ShellSort,12067,12067,10,131150
1000,Aleatoria,ShellSort,15872,15872,10,229290
10000,Crescente,BubbleSort,49995000,0,10,34770940
10000,Decrescente,BubbleSort,49995000,49995000,10,60421870
10000,Aleatoria,BubbleSort,49995000,23985543,10,91526140
10000,Crescente,InsertionSort,9999,0,10,32660
10000,Decrescente,InsertionSort,49995000,49995000,10,59827340
10000,Aleatoria,InsertionSort,23985553,23985543,10,25369560
10000,Crescente,SelectionSort,49995000,0,10,109947040
10000,Decrescente,SelectionSort,49995000,5000,10,111810910
10000,Aleatoria,SelectionSort,49995000,9993,10,106043070
10000,Crescente,MergeSort,133616,267232,10,376950
10000,Decrescente,MergeSort,133616,267232,10,372190
10000,Aleatoria,MergeSort,133616,267232,10,918580
10000,Crescente,QuickSort,49995000,9999,10,97754950
10000,Decrescente,QuickSort,49995000,9999,10,79726610
10000,Aleatoria,QuickSort,128241,31537,10,832740
10000,Crescente,ShellSort,120325,120325,10,192840
10000,Decrescente,ShellSort,167627,167627,10,509720
10000,Aleatoria,ShellSort,264110,264110,10,1088380
